banco,tarjeta,resumen,archivo,cierre,vencimiento,prox_cierre,prox_vto,total_ars,total_usd,minimo_ars,pagos_ars,pagos_usd,consumos_ars,intereses_ars,punitorios_ars,comisiones_ars,percepciones_ars
Galicia,MASTERCARD,2025-02-01,RESUMEN_MAST1_2_2025pdf.pdf,2025-01-30,2025-02-07,2025-02-27,2025-03-07,324519.18,1028.75,380120.0,-9699.36,,0.0,,,,324519.18
Galicia,MASTERCARD,2025-03-01,RESUMEN_MAST1_3_2025pdf.pdf,2025-02-27,2025-03-11,2025-03-27,2025-04-04,708979.85,2487.4,599920.0,-324519.18,-1028.75,241200.0,,,,467779.85
Galicia,MASTERCARD,2025-03-29,RESUMEN_MAST29_3_2025pdf.pdf,2025-03-27,2025-04-07,2025-04-30,2025-05-09,-324519.26,0.0,0.0,-241200.0,-2487.4,0.0,,,,-792299.11
Galicia,MASTERCARD,2025-05-03,RESUMEN_MAST3_5_2025pdf.pdf,2025-04-30,2025-05-09,2025-05-29,2025-06-06,0.0,0.0,0.0,,,0.0,,,324519.26,
Galicia,MASTERCARD,2025-10-04,RESUMEN_MAST4_10_2025pdf.pdf,2025-10-02,2025-10-13,2025-10-30,2025-11-07,50498.86,0.0,2520.0,,,50498.86,,,,
Galicia,MASTERCARD,2025-11-01,RESUMEN_MAST1_11_2025pdf.pdf,2025-10-30,2025-11-07,2025-11-27,2025-12-05,-4830.33,0.0,0.0,-50498.86,,-5000.0,132.18,6.6,,
Galicia,MASTERCARD,2025-11-29,RESUMEN_MAST29_11_2025pdf.pdf,2025-11-27,2025-12-05,2025-12-31,2026-01-09,622697.95,1439.12,728230.0,,,0.0,,,,627528.28
Santander,AMEX,2026-01-16,Resumen de tarjeta de crédito AMEX-16-01-2026.pdf,2026-01-08,2026-01-16,2026-02-05,2026-02-13,64035.98,0.0,2560.0,-214910.58,,64035.98,,,,
Santander,VISA,2026-01-16,Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2026-01-16,2026-02-05,2026-02-13,1706669.74,2375.58,1229480.0,-606800.41,-26.9,598239.41,4706.56,,,1028903.41
BBVA,VISA,2026-01-22,Resumen (4).pdf,2026-01-22,2026-02-02,2026-02-19,2026-03-02,3123072.63,0.0,214680.0,-1117198.72,,2872868.82,12572.13,,37190.08,
Galicia,VISA,2026-01-29,RESUMEN_VISA29_1_2026pdf.pdf,2026-01-29,2026-02-06,2026-02-26,2026-03-06,2489603.61,128.68,260630.0,-3567751.14,-90.54,2411027.52,,,,16278.94
Santander,AMEX,2026-02-13,Resumen de tarjeta de crédito AMEX-13-02-2026.pdf,2026-02-05,2026-02-13,2026-03-05,2026-03-13,69289.12,0.0,2770.0,-64035.98,,69289.12,,,,
Santander,VISA,2026-02-13,Resumen de tarjeta de crédito VISA-13-02-2026.pdf,2026-02-05,2026-02-13,2026-03-05,2026-03-13,1075578.74,1521.55,780750.0,-658125.54,-2374.58,401822.73,656.41,,,-379332.96
BBVA,VISA,2026-02-19,Resumen (3).pdf,2026-02-19,2026-03-02,2026-03-19,2026-04-01,3988363.5,0.0,200740.0,-3123072.63,,3988363.5,,,,
Galicia,MASTERCARD,2026-02-28,RESUMEN_MAST28_2_2026pdf.pdf,2026-02-26,2026-03-06,2026-03-26,2026-04-06,904827.03,721.96,0.0,,,0.0,,,,904827.03
Galicia,VISA,2026-02-26,RESUMEN_VISA26_2_2026pdf.pdf,2026-02-26,2026-03-06,2026-03-26,2026-04-06,2705157.33,256.38,355350.0,-2490000.0,,2363440.7600000002,,,,106205.08
Santander,AMEX,2026-03-13,Resumen de tarjeta de crédito AMEX-13-03-2026.pdf,2026-03-05,2026-03-13,2026-04-09,2026-04-17,0.0,0.0,0.0,-69289.12,,,,,,
Santander,VISA,2026-03-13,Resumen de tarjeta de crédito VISA-13-03-2026.pdf,2026-03-05,2026-03-13,2026-04-09,2026-04-17,1604485.63,36.99,95640.0,-401822.73,-1521.55,1572662.06,830.18,,,-645191.75
BBVA,VISA,2026-03-19,Resumen (2).pdf,2026-03-19,2026-04-01,2026-04-23,2026-05-04,323763.8,0.0,17510.0,-3988363.5,,323763.8,,,,
Galicia,MASTERCARD,2026-03-28,RESUMEN_MAST28_3_2026pdf.pdf,2026-03-26,2026-04-06,2026-04-30,2026-05-08,656122.62,0.0,84390.0,,-721.96,0.0,44877.83,,,-303006.58
Galicia,VISA,2026-03-26,RESUMEN_VISA26_3_2026pdf.pdf,2026-03-26,2026-04-06,2026-04-30,2026-05-08,3594025.18,253.67,401500.0,-2077837.38,-256.38,2911765.75,,,,-2747.95
Santander,AMEX,2026-04-17,Resumen de tarjeta de crédito AMEX-17-04-2026.pdf,2026-04-09,2026-04-17,2026-05-07,2026-05-15,86164.05,0.0,3440.0,,,86164.05,,,,
Santander,VISA,2026-04-17,Resumen de tarjeta de crédito VISA-17-04-2026.pdf,2026-04-09,2026-04-17,2026-05-07,2026-05-15,3226616.99,256.92,247740.0,-1604471.98,-37.0,3125602.39,3469.44,,,91401.6
Galicia,VISA,2026-04-16,RESUMEN_VISA16_4_2026pdf.pdf,2026-04-16,2026-04-24,2026-05-14,2026-05-22,1616279.98,4.03,36770.0,-3594025.18,-253.67,1718094.08,,,,-101814.1
BBVA,VISA,2026-04-23,Resumen (1).pdf,2026-04-23,2026-05-04,2026-05-21,2026-06-03,748645.97,9.42,127290.0,-323763.8,,654751.76,,,74380.16,3894.22
Galicia,MASTERCARD,2026-04-29,RESUMEN_MAST29_4_2026pdf.pdf,2026-04-30,2026-05-08,2026-05-28,2026-06-05,641940.0,0.0,23140.0,,,641940.0,,,,-601820.45
Galicia,MASTERCARD,2026-04-30,RESUMEN_MAST30_4_2026pdf.pdf,2026-04-30,2026-05-08,2026-05-28,2026-06-05,641940.0,0.0,23140.0,,,641940.0,,,,-601820.45
Santander,AMEX,2026-05-15,Resumen de tarjeta de crédito AMEX-15-05-2026.pdf,2026-05-07,2026-05-15,2026-06-11,2026-06-19,87469.5,0.0,4170.0,-86164.05,,86768.53,579.31,,,
Santander,VISA,2026-05-15,Resumen de tarjeta de crédito VISA-15-05-2026.pdf,2026-05-07,2026-05-15,2026-06-11,2026-06-19,1348652.83,52.01,0.0,-3851931.84,,1515873.14,63700.6,,,21656.96
Galicia,VISA,2026-05-14,RESUMEN_VISA14_5_2026pdf.pdf,2026-05-14,2026-05-22,2026-06-18,2026-06-26,3479475.05,207.0,319070.0,-1165439.56,-4.03,2908122.39,,,,84800.17
BBVA,VISA,2026-05-21,Resumen.pdf,2026-05-21,2026-06-03,2026-06-25,2026-07-06,134400.6,0.0,19420.0,-730002.49,,97942.43,1372.89,,3223.14,
Galicia,MASTERCARD,2026-05-28,RESUMEN_MAST28_5_2026pdf.pdf,2026-05-28,2026-06-05,2026-07-02,2026-07-13,651462.63,0.0,79730.0,-40120.0,,0.0,40483.96,543.0,,
Santander,AMEX,2026-06-19,Resumen de tarjeta de crédito AMEX-19-06-2026.pdf,2026-06-11,2026-06-19,2026-07-08,2026-07-17,194872.69,0.0,7790.0,-87469.5,,194872.69,,,,
Santander,VISA,2026-06-19,Resumen de tarjeta de crédito VISA-19-06-2026.pdf,2026-06-11,2026-06-19,2026-07-08,2026-07-17,1162056.37,31.97,103190.0,-1353055.0,,1042093.96,28488.89,,,13739.1
Galicia,VISA,2026-06-18,RESUMEN_VISA18_6_2026pdf.pdf,2026-06-18,2026-06-26,2026-07-16,2026-07-24,3016370.5,292.72,371680.0,-3479475.05,,2566090.46,,,,126586.76
Galicia,MASTERCARD,2026-07-02,RESUMEN_MAST2_7_2026pdf.pdf,2026-07-02,2026-07-13,2026-07-30,2026-08-07,337432.43,1.0,72700.0,-372713.19,,0.0,45903.58,1942.55,,446.7
Galicia,MASTERCARD,2026-07-30,RESUMEN_MAST30_7_2026pdf.pdf,2026-07-30,2026-08-07,2026-08-27,2026-09-04,956696.79,747.94,477060.0,-233218.19,-1.0,460559.84,6165.77,,,384462.13
Santander,AMEX,2026-08-14,Resumen de tarjeta de crédito AMEX-14-08-2026.pdf,2026-08-06,2026-08-14,2026-09-10,2026-09-18,243883.48,90.0,54010.0,-198086.77,,203477.98,,,,40405.5
Santander,VISA,2026-08-14,Resumen de tarjeta de crédito VISA-14-08-2026.pdf,2026-08-06,2026-08-14,2026-09-10,2026-09-18,2118211.11,4131.73,2124000.0,-570000.0,-1310.0,476088.15,,,,1394259.17
Galicia,VISA,2026-08-13,RESUMEN_VISA13_8_2026pdf.pdf,2026-08-13,2026-08-21,2026-09-17,2026-09-25,2389933.61,207.0,201680.0,-2890792.62,-286.86,2370346.01,,,,-34270.37
BBVA,VISA,2026-08-20,Resumen_20-08-2026.pdf,2026-08-20,2026-09-03,2026-09-24,2026-10-05,1028480.4,0.0,97870.0,-139805.0,,979580.4,,,40413.22,
Galicia,MASTERCARD,2026-08-27,RESUMEN_MAST27_8_2026pdf.pdf,2026-08-27,2026-09-04,2026-10-01,2026-10-09,2009305.36,0.0,332550.0,-380563.89,,148500.0,109442.32,12709.47,,
Santander,AMEX,2026-09-18,Resumen de tarjeta de crédito AMEX-18-09-2026.xlsx,2026-09-10,2026-09-18,2026-10-08,2026-10-16,194622.75,108.56,194622.75,-202677.03999999998,-90.0,144457.38,60.14,,,8886.160000000003
Santander,VISA,2026-09-18,Resumen de tarjeta de crédito VISA-18-09-2026.xlsx,2026-09-10,2026-09-18,2026-10-08,2026-10-16,536321.2,181.06,536321.2,-215000.0,-4131.73,399122.3,3624.29,,,-1772729.89
